A1,A2,A3,A4,A5,A6,A7,A8,A9,C1,C2,C3,C4,C5,C6,C7,C8,C9,E1,E2,E3,E4,E5,E6,E7,E8,N1,N2,N3,N4,N5,N6,N7,N8,O1,O10,O2,O3,O4,O5,O6,O7,O8,O9
2,2,2,2,3,2,3,1,4,1,1,2,0,1,2,2,2,0,2,1,3,2,2,3,1,3,2,3,4,2,3,2,3,3,2,1,3,2,3,2,2,1,2,2
2,3,2,3,2,2,2,1,2,3,2,2,1,1,3,3,3,2,3,1,3,2,1,2,1,2,1,1,3,3,1,3,3,3,3,2,3,3,2,2,3,1,2,3
2,3,2,3,3,3,3,2,3,3,2,3,1,2,2,2,3,2,2,2,3,3,2,2,1,3,1,1,2,2,3,1,1,1,3,1,3,1,3,3,1,1,2,1
1,3,4,1,4,1,3,0,4,4,2,4,3,3,4,3,3,0,3,1,4,4,2,4,2,3,0,1,3,4,2,4,0,0,4,4,3,2,4,4,3,0,4,2
2,4,3,3,3,1,1,1,2,3,0,3,2,1,2,2,1,1,3,4,3,3,1,4,3,2,1,1,2,1,1,3,2,3,3,2,2,3,3,3,2,1,3,1
1,3,3,3,3,4,3,2,3,2,1,3,3,2,3,3,3,1,1,2,3,4,4,3,3,4,1,2,2,3,3,1,1,3,3,1,4,3,3,3,2,0,4,1
0,1,1,0,0,1,0,0,0,3,2,3,3,1,3,3,4,3,3,2,2,2,2,4,3,1,1,1,2,2,1,2,1,2,3,4,4,4,4,3,3,2,3,4
4,4,1,2,2,2,2,1,3,2,3,2,2,4,2,1,1,3,3,0,2,2,2,2,2,3,1,1,2,2,2,2,1,4,3,1,1,2,2,2,2,2,1,2
2,3,4,3,3,2,4,2,2,2,1,3,3,1,3,3,2,1,2,2,3,3,2,3,1,3,1,0,2,1,0,1,2,1,4,2,3,3,2,3,2,2,2,1
2,3,4,3,3,1,3,3,4,3,3,2,3,3,2,3,3,1,1,2,2,2,1,3,3,3,1,1,3,0,3,4,1,1,2,4,2,3,3,2,3,2,3,4
2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,3,2,2,2,4,4,2,1,2,1,2,4,2,2,1,1,0,2,2,2,1,0,3,1,0
2,2,4,2,1,0,1,1,3,2,1,2,2,1,3,2,1,2,1,3,2,2,2,3,2,2,1,1,2,0,2,4,1,1,2,2,2,3,1,2,1,3,1,0
2,3,3,3,3,2,2,2,3,2,3,1,4,1,2,2,2,2,3,2,2,2,2,3,1,2,2,1,2,3,2,3,2,2,2,0,2,3,1,2,0,2,2,0
4,3,4,4,0,0,4,4,4,1,2,2,2,1,3,3,0,0,1,0,2,1,0,2,0,4,2,4,4,4,4,4,4,4,2,4,4,3,4,2,3,2,3,3
2,3,1,3,1,0,3,3,2,2,2,2,3,2,3,3,2,1,1,2,2,2,1,3,2,3,3,3,3,3,2,3,1,3,3,2,3,3,3,2,3,2,3,1
4,3,4,4,3,2,4,3,3,2,3,3,2,3,2,2,1,1,3,2,4,3,3,2,1,3,0,2,3,1,2,1,2,3,3,1,2,3,2,2,2,2,2,1
4,3,4,2,3,4,4,1,4,3,3,2,4,2,4,3,1,0,3,2,3,3,1,3,1,4,0,2,2,4,3,3,0,3,2,3,3,2,3,3,2,2,2,3
3,3,4,3,0,1,4,3,3,3,2,3,3,3,3,3,3,2,3,2,4,4,2,3,3,3,0,2,2,4,1,4,1,3,2,2,3,3,1,2,2,3,3,1
3,3,4,4,0,1,1,0,4,2,2,1,1,1,0,2,2,0,4,0,4,3,4,4,2,2,3,2,2,2,0,0,2,2,1,2,3,1,1,3,2,3,3,3
3,4,3,4,3,0,3,2,4,4,3,3,3,2,3,2,4,1,3,2,3,3,3,2,1,3,3,4,3,4,4,3,0,3,2,4,4,3,4,2,4,0,3,4
3,3,3,3,0,1,3,2,4,3,4,2,3,2,4,3,3,2,3,2,2,2,1,4,1,3,1,3,2,3,2,3,1,3,2,1,3,3,2,1,2,1,3,2
3,3,3,2,1,0,1,2,2,3,1,2,2,2,3,2,2,1,4,1,3,3,2,3,1,4,1,2,3,4,2,2,2,3,2,2,3,3,2,1,3,2,2,2
1,3,3,3,2,1,3,1,4,3,2,3,1,1,3,3,3,1,4,3,3,3,4,4,3,3,1,2,1,3,2,3,3,2,2,3,3,2,3,3,2,2,3,2
0,4,1,2,3,1,3,1,3,3,1,2,2,1,2,2,2,1,4,3,4,3,4,3,2,3,2,2,1,3,1,4,1,2,2,4,3,2,4,2,3,2,3,1
3,2,4,3,0,0,3,1,3,3,2,0,4,1,1,3,1,1,0,4,0,3,4,4,1,3,4,4,3,0,1,4,2,1,0,0,3,2,0,3,1,1,0,0
4,3,4,4,3,0,3,4,2,2,2,2,0,3,2,3,3,1,1,2,2,2,0,3,0,2,2,1,2,3,2,1,1,2,3,4,3,3,4,3,3,2,3,4
0,2,0,4,4,0,1,3,3,2,1,2,1,0,1,1,2,0,3,3,4,3,4,3,0,2,1,3,3,3,3,2,1,4,3,1,4,1,2,2,2,2,1,3
2,2,2,2,1,1,2,1,2,3,1,3,1,1,3,3,3,1,3,3,2,2,3,4,3,3,2,3,3,3,3,3,3,3,2,2,3,3,2,2,2,2,3,2
1,3,1,4,1,1,3,1,3,2,1,2,1,1,2,2,2,0,4,3,4,3,4,2,1,3,1,4,3,3,3,3,3,3,2,0,2,3,2,2,2,1,2,4
3,4,3,3,0,3,4,3,4,2,4,2,3,1,1,3,3,0,3,2,1,2,1,3,2,4,2,0,3,2,1,1,0,1,1,4,2,2,1,3,2,2,0,0
0,3,1,1,3,3,3,1,3,3,1,3,1,1,3,1,1,1,1,1,3,3,2,3,2,3,1,3,3,3,1,3,1,4,4,3,3,3,3,3,3,1,3,3
3,4,3,1,1,4,2,0,4,4,4,2,4,2,4,4,4,4,0,2,4,4,4,1,4,4,0,4,4,4,3,4,3,4,4,2,3,2,4,3,4,4,3,4
2,1,3,3,2,2,2,1,2,3,2,3,2,1,3,3,2,3,1,1,1,2,2,2,1,2,2,2,1,3,2,1,2,2,2,3,2,3,3,3,2,0,3,1
3,2,2,2,2,2,2,3,3,2,2,3,2,2,3,2,2,0,2,2,2,3,2,2,4,2,0,3,4,2,2,3,1,0,2,0,1,0,3,2,2,2,2,0
3,3,3,3,4,3,4,3,4,3,2,2,1,2,4,3,4,1,2,2,3,4,4,2,3,4,1,4,3,3,1,2,0,1,3,3,2,2,2,2,1,0,4,0
2,3,3,4,4,3,3,1,2,3,4,2,2,4,3,3,2,1,1,2,4,3,1,1,0,3,0,4,3,3,2,2,4,4,3,4,3,2,2,2,2,3,1,3
2,3,4,2,1,1,2,4,2,3,3,2,2,0,3,4,2,4,0,1,2,2,0,1,0,1,1,0,1,2,1,2,1,1,2,0,4,3,2,3,1,3,3,3
2,4,2,4,3,2,4,0,3,3,1,4,2,2,3,3,3,3,2,2,3,2,0,4,2,3,1,1,3,3,1,3,1,1,3,1,3,3,3,3,1,0,2,1
3,3,3,3,3,3,4,3,1,3,1,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,1,1,3,3,0,2,1,2,2,2,3,2,3,2,2,1,3,3
2,3,4,2,3,3,3,2,3,2,1,2,4,1,3,3,3,1,4,3,4,2,4,4,2,3,0,2,1,2,0,1,0,3,3,0,2,3,3,3,1,3,3,1
1,3,2,3,4,2,3,1,3,1,0,2,1,1,1,1,2,0,2,2,3,3,3,3,1,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2
3,2,3,3,0,1,3,1,1,1,3,2,1,3,3,2,2,4,3,3,3,1,3,4,4,1,1,3,3,4,1,1,1,1,2,3,3,2,4,3,3,3,4,4
3,3,3,4,2,3,4,1,0,4,3,3,2,2,3,3,4,3,2,3,3,3,2,2,1,3,1,1,3,3,1,3,0,2,3,3,4,3,3,3,3,3,4,3
2,2,3,3,2,4,3,4,4,2,2,1,0,3,1,2,1,1,4,2,4,4,3,4,3,4,1,2,3,2,3,1,2,2,4,4,2,3,4,1,4,2,4,4
1,3,2,3,3,0,3,2,2,1,1,3,4,3,3,3,4,3,3,1,4,3,2,4,1,3,2,1,3,3,3,4,3,0,1,2,4,3,2,2,2,0,1,2
2,3,1,3,1,0,3,2,3,2,2,1,4,1,3,3,2,2,2,2,2,3,2,2,2,3,1,3,2,3,0,2,1,3,2,1,3,1,3,3,2,1,3,3
2,3,2,3,2,1,3,1,2,4,3,2,2,3,3,2,3,0,3,2,4,3,4,4,3,3,0,1,3,3,2,2,2,3,4,1,4,3,3,2,2,2,3,0
4,3,4,4,3,2,4,4,3,3,3,3,4,2,3,3,4,4,0,2,2,2,2,3,2,3,1,0,0,0,1,3,1,0,2,3,3,2,3,3,3,2,2,3
3,3,3,3,1,1,3,3,3,2,2,2,3,2,2,3,2,1,4,2,2,3,2,2,1,2,1,3,2,2,2,3,3,2,2,3,2,3,2,2,3,2,2,3
4,4,4,2,0,4,4,4,0,4,1,3,4,4,4,4,3,4,0,1,3,3,0,3,0,4,1,4,3,0,2,3,0,3,2,2,3,3,3,3,0,1,2,1
2,2,4,3,3,1,4,1,4,3,1,2,4,1,2,3,4,1,4,4,1,3,2,4,1,4,2,0,1,1,4,2,0,1,3,4,4,4,4,2,3,3,4,3
3,3,3,4,4,4,4,3,1,3,3,3,3,3,3,3,3,2,3,2,3,3,4,2,3,3,2,2,2,2,1,1,1,2,3,3,3,3,3,3,4,2,3,3
1,3,4,3,3,3,4,4,4,2,2,3,2,1,2,2,4,1,3,3,3,4,4,3,1,4,1,1,3,3,2,1,0,3,4,4,4,3,4,3,3,1,3,4
0,3,1,3,3,0,3,2,4,1,1,0,0,0,0,3,0,0,4,4,4,4,4,4,4,4,0,0,0,1,0,4,2,4,2,2,4,2,4,4,2,2,3,1
3,3,4,4,3,4,3,3,4,2,2,2,2,1,3,3,2,0,4,4,3,3,3,3,4,3,0,2,1,2,1,1,1,1,3,3,1,2,2,3,2,2,2,3
3,3,3,2,1,2,2,3,2,3,2,2,4,3,3,2,2,3,2,3,3,3,2,4,4,2,3,1,4,2,1,3,1,2,2,4,3,3,1,2,4,2,3,4
1,4,2,3,3,1,3,2,4,2,2,4,1,0,3,3,3,2,4,4,4,4,4,4,4,4,0,0,1,0,0,3,0,1,4,4,4,4,3,4,4,3,4,4
1,3,1,3,1,0,2,1,1,3,0,2,2,2,3,2,2,2,4,3,4,4,3,4,3,1,4,1,3,2,2,4,1,0,3,3,4,3,3,3,4,1,3,4
1,1,3,1,1,1,0,1,0,2,4,0,4,4,2,3,2,3,0,1,0,0,0,1,0,2,4,3,4,4,4,3,1,4,1,2,1,3,2,0,1,2,0,1
1,3,3,2,1,1,3,2,2,3,1,2,2,2,3,3,3,2,2,2,3,3,2,4,2,2,2,1,2,1,2,2,1,1,2,3,3,2,3,2,2,2,3,2
3,2,2,2,0,2,2,3,3,2,2,2,3,2,1,1,1,0,2,2,2,2,3,2,3,1,1,2,1,2,3,1,3,1,2,2,1,1,2,1,1,2,1,1
3,3,2,0,3,2,2,1,3,3,2,1,4,3,1,3,2,2,3,2,4,1,1,3,3,1,1,1,3,1,0,3,1,1,4,1,4,3,1,2,2,2,1,3
2,2,2,3,3,1,3,1,2,3,1,3,1,2,3,2,2,0,2,1,2,3,1,3,1,2,3,3,3,2,2,3,3,3,3,2,3,3,3,3,2,2,3,3
2,3,4,3,3,4,4,4,4,2,3,1,2,2,0,3,0,1,2,4,3,2,1,4,3,3,0,1,2,0,2,0,1,1,2,4,3,2,2,2,2,2,1,0
3,4,3,2,2,3,3,2,3,3,3,3,3,1,3,3,3,2,3,2,3,3,3,3,1,3,1,2,3,3,2,2,2,4,2,2,3,2,2,3,2,2,2,2
1,3,3,1,3,1,3,1,4,2,2,2,1,1,2,3,1,2,2,1,2,3,2,4,0,3,1,4,2,4,3,3,1,4,3,2,2,3,2,3,2,1,3,1
4,4,4,4,1,2,4,3,3,3,2,2,3,0,3,4,3,3,2,0,2,2,0,3,0,3,0,3,2,3,1,3,0,3,2,1,2,2,2,2,2,1,2,1
3,3,4,3,3,1,4,4,3,3,3,2,4,1,2,3,1,2,1,3,2,3,0,2,0,3,0,0,2,2,1,2,2,2,2,2,2,2,1,1,3,2,1,2
2,3,3,4,4,2,3,2,1,3,1,3,0,0,2,1,2,2,3,0,0,1,1,1,1,1,2,3,4,3,3,4,2,4,1,1,3,4,2,2,2,0,2,1
2,3,4,3,3,1,3,3,3,3,3,3,2,3,4,3,3,2,2,2,3,3,2,3,2,3,0,1,2,1,0,3,1,1,3,3,4,3,4,3,3,2,3,3
2,4,3,3,3,2,4,2,4,4,1,3,3,3,3,4,3,3,3,2,4,3,2,4,3,4,1,1,3,2,2,3,2,2,4,2,4,3,2,3,2,3,4,1
3,2,2,2,3,1,3,1,3,2,1,2,2,2,3,3,2,1,3,2,3,3,1,3,2,2,2,4,3,3,1,2,2,3,2,2,3,2,2,2,2,2,2,2
2,3,3,3,3,1,3,2,3,2,2,3,1,2,3,4,3,2,3,1,3,3,2,4,2,3,2,1,2,1,1,2,1,2,3,3,4,3,2,3,3,1,4,3
2,2,3,2,3,3,3,2,2,3,1,3,3,2,2,3,3,1,3,3,3,2,3,3,2,3,1,2,3,2,2,2,1,2,2,1,3,3,3,3,1,1,3,2
2,3,2,3,3,2,2,2,3,3,1,3,1,2,3,3,3,3,3,3,3,3,2,3,2,3,1,1,3,2,3,3,1,2,2,2,3,3,2,3,1,1,2,1
1,2,2,2,3,3,3,2,3,2,1,3,2,1,2,2,2,0,4,4,4,3,4,3,3,4,1,2,3,3,2,3,2,2,3,3,4,2,4,2,1,1,3,3
2,2,3,3,3,1,2,2,2,2,1,3,2,2,3,3,3,2,3,3,2,3,3,3,1,3,2,3,3,3,3,3,2,3,1,3,3,3,3,2,3,1,3,3
2,2,3,3,3,1,2,0,2,1,1,3,3,1,1,2,1,1,4,3,3,3,4,3,2,3,0,0,1,0,1,3,1,0,2,3,3,2,3,2,3,1,3,4
0,4,1,3,1,0,3,1,1,0,2,3,4,2,3,3,3,1,4,1,3,4,0,4,2,3,3,0,3,3,1,3,4,3,4,2,4,4,3,2,3,3,3,2
4,3,3,3,2,1,3,3,2,3,1,3,1,1,4,2,3,3,1,1,2,2,1,2,1,4,1,2,3,2,2,3,3,2,3,3,3,2,2,2,3,0,4,0
1,3,3,3,2,0,3,0,3,2,1,2,1,0,1,2,2,1,3,2,2,3,3,4,1,4,1,0,1,2,0,2,1,1,2,2,2,3,3,2,3,0,2,3
4,3,4,4,3,1,4,2,1,3,1,2,2,1,4,2,3,0,2,3,3,3,1,2,1,4,0,0,1,3,3,3,0,1,3,3,3,3,4,3,4,1,3,4
2,3,3,3,3,3,3,3,3,3,1,2,1,2,2,3,2,2,3,4,3,3,3,3,3,3,1,0,2,1,3,2,1,1,2,2,3,3,3,3,2,1,3,2
3,3,3,3,3,1,3,3,3,2,1,2,2,2,1,3,1,4,2,1,2,1,1,2,1,2,1,1,1,1,1,3,1,2,2,3,3,3,2,3,0,1,3,3
3,3,3,2,2,2,3,3,3,1,1,2,1,1,3,2,2,2,2,2,2,2,1,2,1,1,2,3,2,1,1,3,1,2,3,3,3,3,2,3,2,3,2,1
3,3,2,3,2,3,3,1,2,3,1,3,1,1,3,3,3,1,2,2,3,2,1,3,1,3,2,1,3,3,2,3,1,1,1,0,3,1,3,2,3,1,1,4
3,3,3,3,3,3,3,2,3,2,1,2,0,0,2,3,3,0,3,4,3,3,3,3,3,3,0,0,2,2,1,2,2,2,3,1,4,4,4,3,3,2,4,0
1,3,3,4,3,1,3,3,2,4,4,4,4,3,4,2,3,4,3,2,3,3,3,4,2,4,1,4,3,4,2,3,2,3,2,0,4,3,0,2,0,0,4,0
1,3,1,2,3,1,3,0,3,3,1,3,1,1,4,4,4,1,4,2,3,3,3,3,2,3,1,2,3,3,3,4,3,3,3,0,3,3,3,3,3,0,2,0
3,4,2,4,3,3,4,2,3,3,2,3,3,4,3,3,2,2,3,3,4,4,3,2,2,4,1,0,2,1,1,3,1,3,2,3,4,3,4,3,0,3,3,0
3,3,3,4,3,2,3,4,4,3,2,4,3,2,4,4,3,4,0,0,3,2,0,1,0,1,2,2,4,4,1,3,1,4,1,0,3,3,1,3,4,0,2,2
3,3,3,2,3,4,2,2,3,2,2,2,2,2,2,1,2,0,3,3,2,3,3,2,3,3,1,4,2,3,2,1,2,4,4,3,3,2,3,3,3,1,3,4
0,3,3,3,3,3,3,3,3,2,1,2,3,1,2,3,2,1,3,2,3,2,2,3,2,3,0,1,3,1,1,3,1,2,3,3,3,2,3,3,3,3,3,4
3,4,4,4,3,4,4,2,3,4,3,4,4,2,4,3,4,4,3,3,4,3,3,4,1,4,0,1,2,3,1,2,1,2,3,1,4,4,2,3,1,0,3,2
3,3,3,3,4,1,2,0,3,3,2,2,0,0,1,1,2,0,1,1,2,2,0,2,0,2,2,3,3,4,2,4,3,2,2,3,3,2,2,2,3,1,2,2
1,3,2,4,3,2,4,1,4,3,1,3,2,2,3,3,2,1,4,4,4,4,4,4,2,4,0,1,2,1,2,3,2,3,3,2,4,3,4,2,1,1,3,1
3,3,3,3,4,4,3,2,4,3,0,2,2,2,3,2,2,1,3,3,2,3,4,2,2,3,0,2,3,3,2,3,3,3,3,2,3,3,3,3,1,0,3,0
3,2,3,3,3,2,3,1,4,2,0,2,0,1,2,1,2,0,1,2,4,3,3,2,1,3,0,1,1,3,1,3,1,0,2,3,4,2,3,2,1,2,2,3
3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,2,3,2,2,2,3,2,3,2,1,1,1,1,2,1,1,3,2,3,3,2,3,2,4,4,3
2,3,3,3,3,2,3,1,3,2,1,3,3,3,3,3,3,2,4,3,3,3,4,3,3,3,1,2,2,1,1,2,1,2,3,2,4,2,3,2,0,3,3,0
1,3,2,2,2,2,1,1,3,3,2,3,4,3,2,3,3,2,2,3,3,3,2,2,1,3,1,4,3,2,2,3,3,3,2,3,3,3,3,2,2,2,3,1
3,3,3,3,2,2,3,3,3,4,2,4,3,3,3,3,3,3,1,1,2,2,1,2,0,4,1,3,3,3,3,1,3,4,2,1,3,2,3,3,1,2,2,1
1,3,2,1,1,1,3,3,2,3,1,3,1,2,2,2,3,2,4,2,3,3,3,3,2,3,2,3,3,3,3,3,2,3,4,2,3,4,3,3,3,1,3,3
1,3,2,2,2,3,2,1,3,2,1,2,1,2,2,2,2,1,2,3,3,2,1,4,1,3,0,2,1,3,2,4,3,1,1,4,3,1,0,1,3,2,1,1
3,3,4,3,3,3,4,4,3,4,2,4,4,4,3,3,2,3,4,4,4,3,4,3,3,3,0,3,3,1,0,1,1,3,3,2,4,3,3,3,3,3,3,3
1,3,2,2,4,0,1,1,3,3,1,2,1,0,3,2,1,2,2,1,2,2,3,1,1,1,3,2,2,3,1,1,2,3,3,2,2,2,3,2,3,2,2,0
1,4,3,4,3,4,4,3,4,2,1,3,3,3,3,2,3,1,3,3,3,3,3,2,1,4,0,2,3,3,2,3,1,3,1,2,3,3,1,3,3,3,3,1
2,4,3,2,2,1,4,3,2,4,1,4,4,3,4,4,4,2,3,3,3,3,2,3,1,3,1,1,2,3,2,3,1,2,2,4,4,3,3,3,3,2,3,3
3,3,2,3,3,1,4,1,3,3,2,4,2,2,4,3,4,1,4,2,3,2,2,3,1,3,1,3,2,3,1,3,1,3,2,4,3,3,3,2,3,0,2,1
3,3,2,1,1,1,2,2,2,2,0,1,0,1,2,2,4,1,4,3,3,2,3,3,3,3,2,1,1,2,0,4,1,1,3,2,3,2,3,3,3,2,3,4
2,3,2,3,2,2,3,3,3,2,2,3,2,2,2,3,2,1,2,1,2,2,2,2,1,3,2,2,3,3,2,3,2,2,2,3,2,2,2,2,3,2,2,3
4,4,4,3,3,3,4,4,4,3,1,3,3,3,4,3,1,1,0,3,3,4,3,3,3,4,0,2,2,3,1,2,2,1,3,3,2,2,3,2,2,2,1,3
2,2,2,2,3,3,3,1,4,2,1,2,1,1,2,2,2,1,3,3,4,4,4,3,3,3,0,2,3,2,2,3,3,2,2,2,4,3,3,3,3,2,3,2
1,3,2,3,3,3,3,2,3,4,1,3,3,1,3,3,4,3,3,2,2,4,3,2,1,3,2,1,3,2,3,3,2,2,2,2,4,4,2,4,4,0,2,2
3,3,4,3,3,3,3,3,3,2,2,2,3,2,2,3,2,2,2,3,2,3,2,2,2,3,1,1,2,1,0,2,1,1,3,2,3,2,2,2,2,2,2,3
1,3,4,1,3,4,3,2,4,2,1,3,0,0,2,2,2,2,4,3,2,3,4,4,2,3,0,2,2,4,3,4,2,2,4,2,4,3,4,2,2,4,3,3
2,3,2,3,3,3,3,2,3,2,1,2,0,1,2,2,2,0,3,2,3,2,4,2,3,3,1,4,3,4,2,4,3,4,1,3,3,3,3,2,3,2,2,2
3,4,4,3,4,3,4,4,2,3,4,3,4,4,3,3,4,2,3,3,4,3,2,1,2,3,1,3,3,3,3,1,3,3,2,1,3,2,4,2,2,0,2,2
2,4,4,3,2,3,3,2,4,4,2,3,3,1,4,1,4,0,3,2,2,3,3,3,1,3,1,4,4,4,3,2,4,4,2,1,2,3,2,2,2,1,2,2
2,3,3,3,3,3,3,2,3,3,1,2,2,2,3,3,2,1,4,3,4,3,4,3,2,3,2,2,2,2,1,2,1,1,4,3,3,3,3,3,2,1,3,2
2,3,3,4,3,1,3,1,3,2,1,2,1,0,2,3,3,0,4,3,3,3,4,3,1,3,3,4,3,3,4,3,3,3,2,4,3,3,3,3,3,3,3,3
3,3,4,3,4,2,3,4,3,3,1,3,1,3,2,3,2,1,2,1,3,3,1,4,1,3,0,0,3,1,1,0,1,0,3,4,4,4,3,4,3,3,3,2
3,3,2,3,3,3,4,1,3,3,1,2,0,2,2,3,2,1,3,2,3,3,2,2,1,3,1,1,2,2,2,3,1,1,2,1,4,3,1,1,2,2,2,1
3,3,3,2,3,2,3,2,3,2,2,2,1,2,2,3,2,1,3,2,3,3,4,3,2,3,1,3,3,2,2,3,3,3,3,3,4,2,2,2,3,2,3,3
1,3,2,3,2,4,4,0,3,3,4,2,3,1,3,3,3,3,4,2,3,4,4,4,4,3,0,0,1,2,1,3,0,0,3,2,4,3,3,4,1,1,2,1
2,3,3,3,3,3,3,3,4,3,2,3,3,1,2,2,2,2,3,3,3,3,3,3,2,4,0,2,3,2,1,3,3,3,2,3,3,3,3,2,3,2,1,1
1,2,3,4,4,1,1,2,1,2,2,2,0,0,1,2,2,1,1,2,2,1,1,2,1,0,2,2,3,4,2,4,4,3,1,2,2,1,1,2,0,3,1,0
2,3,3,2,3,3,3,3,2,3,2,2,2,1,2,2,2,1,1,3,4,3,2,1,2,2,2,1,2,1,2,2,1,1,3,1,2,3,4,2,1,2,1,2
0,3,1,2,3,2,3,1,4,2,1,2,0,0,1,3,1,0,1,2,2,3,4,3,2,3,1,4,4,4,4,4,2,3,3,4,3,2,3,2,3,4,3,4
4,3,4,3,2,3,3,3,3,3,3,2,3,1,2,2,2,2,2,2,2,2,2,2,1,3,1,2,2,4,2,3,2,3,3,2,3,2,4,2,2,2,2,3
0,1,4,1,0,0,1,1,2,4,2,4,2,1,4,4,4,2,4,3,2,3,3,4,2,2,1,1,3,3,0,3,0,1,4,3,4,4,3,3,4,3,4,4
1,3,3,3,3,2,3,3,3,3,2,3,3,2,3,3,4,2,2,3,3,3,4,3,2,2,0,1,2,2,1,3,1,1,3,3,3,3,3,3,3,1,3,1
1,2,4,4,4,2,3,4,3,1,1,2,2,1,1,1,2,0,3,4,4,3,3,3,4,3,2,1,1,0,1,3,0,1,3,3,4,2,3,2,2,2,1,3
2,3,3,2,1,1,2,2,4,3,2,3,1,1,2,2,3,2,3,2,2,2,4,2,1,2,2,3,2,3,2,3,2,3,2,0,2,3,2,2,1,2,3,0
3,3,3,3,3,1,3,1,3,3,2,2,2,1,2,2,2,1,3,2,2,2,3,2,1,3,1,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2
2,3,2,2,3,1,3,1,3,2,2,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,3,1,3,2,3,3,2,2,1,1,1,2,1,2,2,1,1,1
3,0,3,3,3,2,3,4,3,4,2,3,4,1,3,3,3,3,3,3,4,3,2,3,3,3,0,1,3,3,1,3,2,3,3,3,4,2,3,3,2,2,3,2
3,3,3,4,3,4,4,3,3,3,1,2,0,0,3,2,2,0,4,3,4,3,4,4,4,3,0,0,1,1,1,1,0,0,3,1,4,3,3,3,1,1,3,1
2,2,2,2,2,1,2,1,2,2,1,2,2,2,3,2,3,2,2,3,2,2,3,4,2,3,2,2,3,1,2,3,1,2,2,2,4,2,2,3,2,1,3,2
3,3,3,4,1,2,3,2,4,1,0,2,0,1,3,2,2,2,3,2,3,3,2,1,2,3,2,2,3,1,1,2,1,3,3,3,4,3,3,3,0,3,3,0
2,3,4,4,2,1,3,3,1,2,3,3,3,2,1,3,2,3,1,2,2,3,1,4,0,3,4,3,3,3,2,2,1,4,2,2,3,3,3,2,3,2,3,3
3,3,3,3,3,3,3,2,3,2,1,2,1,1,2,3,1,2,3,3,3,3,3,1,3,4,1,1,1,2,1,2,1,1,3,3,3,2,3,3,3,3,3,3
0,3,1,2,2,3,3,1,3,3,1,4,2,2,3,3,3,3,3,1,3,3,2,2,1,3,1,1,3,4,1,3,1,3,3,3,2,3,1,3,1,1,2,1
4,3,4,4,2,4,3,4,3,3,4,3,4,4,3,3,3,1,3,3,3,3,1,1,1,3,0,3,3,4,2,0,2,4,3,3,2,2,3,3,3,2,3,4
3,3,3,3,3,3,3,2,3,3,1,3,3,3,4,3,3,3,1,2,3,2,1,3,1,3,1,3,4,3,2,2,2,3,3,2,3,3,1,3,3,1,1,3
2,3,3,2,0,1,2,2,1,2,2,3,3,2,3,2,3,2,2,2,2,2,1,2,1,2,2,1,2,2,0,2,1,1,2,3,2,2,2,2,2,2,2,2
1,2,3,2,1,1,2,1,2,2,1,3,1,1,2,3,2,1,2,2,3,3,2,3,2,3,1,1,2,3,1,4,1,1,1,2,3,3,1,2,2,1,2,1
4,2,4,3,1,0,3,4,1,3,1,3,1,3,4,0,2,3,0,0,1,1,1,1,0,0,3,4,3,4,1,1,1,3,2,2,3,4,1,1,1,0,4,2
2,2,2,3,2,3,2,4,2,2,2,2,1,1,2,2,2,1,2,2,2,3,1,2,1,2,2,2,3,3,3,3,4,4,2,1,2,2,3,2,1,2,3,1
1,0,4,4,3,3,4,0,4,3,1,4,3,2,3,3,3,1,4,4,4,4,4,4,4,4,0,1,3,2,0,2,1,3,4,0,3,2,3,4,0,0,2,0
